"IDENTIFIER","IDN_TRB_NM","TRIBE_AFFILIATION","LGC_ID"
"6IG23v5q25",Skull Valley Band/Goshute Indians  ,Goshute                                 ,"0323"
KTs6AVPq25,Confederated Trbs/Grande Ronde Com/,Grande Ronde                            ,"0324"
Pwaf7nPq25,Organized Village of Grayling      ,Grayling                                ,"0073"
L5faSNvq25,Ft Belknap Ind Com/Ft Belknap/MT   ,Gros Ventre                             ,"0325"
LzvZOiVq25,Gulkana Village Council            ,Gulkana                                 ,"0066"
VNG3moVq25,Hydaburg Cooperative Association   ,Haida Indian                            ,"0464"
QY5z5Lnq25,Organized Village of Kasaan        ,Haida Indian                            ,"0464"
kBY7AFjq25,Central Cncl/Tlingit&Haida Ind Trbs,Haida Indian                            ,"0464"
VNYE78dq25,Native Village of Hamilton         ,Hamilton                                ,"0110"
hmzexepq25,Pit River Tribe                    ,Hammawi                                 ,"0236"
GH5qPZTq25,Havasupai Tribe/the Havasupai Res  ,Havasupai                               ,"0326"
OPwrEw3q25,Healy Lake Village                 ,Healy                                   ,"0047"
hmzexepq25,Pit River Tribe                    ,Hewisedawi                              ,"0238"
PxAzmRfq25,Three Affiliated Trbs/Fort Berthold,Hidatsa                                 ,"0327"
LAviSqnCyw,Ho-Chunk Nation of Wisconsin       ,Ho-Chunk                                ,"0440"
PKCqBGdq25,Hoh Indian Tribe                   ,Hoh                                     ,"0328"
PcxVA2pq25,Holy Cross Village                 ,Holy Cross                              ,"0076"
Qpy959bq25,Hoonah Indian Association          ,Hoonah                                  ,"0077"
ZbCyr2xq25,Bear River Band/Rohnerville Ranch. ,Hoopa                                   ,"0239"
QWU1EhA00P,San Jose Band Rancheria            ,Hoopa                                   ,"0239"
R8io3vnq25,Hoopa Valley Tribe                 ,Hoopa                                   ,"0239"
TFzQvN9q25,Native Village of Hooper Bay       ,Hooper Bay                              ,"0078"
R90yOFvq25,Colorado River Indian Tribes       ,Hopi                                    ,"0329"
SGvh2PK37T,Colorado River Tribal Council      ,Hopi                                    ,"0329"
TYk5u9Lq25,Hopi Tribe of Arizona              ,Hopi                                    ,"0329"
UT04qTvq25,Hualapai Indian Tribe/Hualapai Ind ,Hualapai                                ,"0330"
UlkjpG7q25,Hughes Village                     ,Hughes                                  ,"0080"
MWGw6dj9lV,Nottawaseppi Huron Band/Potowatomi ,Huron                                   ,"0439"
THkQtJvq25,Wyandotte Nation                   ,Huron                                   ,"0439"
V4VOo2Jq25,Huslia Village                     ,Huslia                                  ,"0081"
VNG3moVq25,Hydaburg Cooperative Association   ,Hydaburg                                ,"0082"
Vg0ilahq25,Igiugig Village                    ,Igiugig                                 ,"0083"
FfsgmLDq25,Village of Iliamna                 ,Iliamna                                 ,"0084"
hmzexepq25,Pit River Tribe                    ,Ilmawi                                  ,"0241"
YhpUtglq25,Native Village of Ambler           ,Inupiaq Eskimo                          ,"0465"
aDannZjq25,Native Village of Brevig Mission   ,Inupiaq Eskimo                          ,"0465"
aWLSmLvq25,Native Village of Buckland         ,Inupiaq Eskimo                          ,"0465"
e9fYs0Nq25,Native Village of Selawik          ,Inupiaq Eskimo                          ,"0465"
eSQDqmZq25,Native Village of Shaktoolik       ,Inupiaq Eskimo                          ,"0465"
e9NOXgFq25,Native Village of Council          ,Inupiaq Eskimo                          ,"0465"
eksiVEdq25,Native Village of Deering          ,Inupiaq Eskimo                          ,"0465"
cw4aIFLq25,Kaktovik Village (aka Barter Island,Inupiaq Eskimo                          ,"0465"
fMgCn79q25,Native Village of Shungnak         ,Inupiaq Eskimo                          ,"0465"
f3vXoKxq25,Native Village of Shishmaref       ,Inupiaq Eskimo                          ,"0465"
iNcTwEpq25,King Island Native Community       ,Inupiaq Eskimo                          ,"0465"
jbDSVzrq25,Native Village of Teller           ,Inupiaq Eskimo                          ,"0465"
AofRmbbq25,Native Village of Mary's Igloo     ,Inupiaq Eskimo                          ,"0465"
DvEYwu3FkD,Native Village of Atqasuk          ,Inupiaq Eskimo                          ,"0465"
HTDzLhrq25,Native Village of Noatak           ,Inupiaq Eskimo                          ,"0465"
HTW9g1zq25,Noorvik Native Community           ,Inupiaq Eskimo                          ,"0465"
KUkb9Tnq25,Native Village of Nuiqsut(Nooiksut),Inupiaq Eskimo                          ,"0465"
GZGAjhPq25,Nome Eskimo Community              ,Inupiaq Eskimo                          ,"0465"
ALzfbMRFkD,Native Village of Point Lay        ,Inupiaq Eskimo                          ,"0465"
"7CoBKZnq25",Village of Anaktuvuk Pass          ,Inupiaq Eskimo                          ,"0465"
"54Mt9pvq25",Native Village of Kobuk            ,Inupiaq Eskimo                          ,"0465"
"6HNX4whq25",Native Village of Kotzebue         ,Inupiaq Eskimo                          ,"0465"
"7UOB03Tq25",Native Village of Koyuk            ,Inupiaq Eskimo                          ,"0465"
kCQc9E7q25,Native Village of Elim             ,Inupiaq Eskimo                          ,"0465"
MO4ZkrrFkD,Arctic Slope Native Assoc. (2 of 2),Inupiaq Eskimo                          ,"0465"
OjHqsMVq25,Native Village of Point Hope       ,Inupiaq Eskimo                          ,"0465"
M1gZMfHq25,Village of Wainwright              ,Inupiaq Eskimo                          ,"0465"
Sc3NWDDFkD,Village of Solomon                 ,Inupiaq Eskimo                          ,"0465"
Y5Rfx9zq25,Native Village of Atqasuk (1 of 2) ,Inupiaq Eskimo                          ,"0465"
ZJKorF9q25,Native Village of Barrow Inupiat T ,Inupiaq Eskimo                          ,"0465"
"0q7nlHLq25",Native Village of Unalakleet       ,Inupiaq Eskimo                          ,"0465"
"2eLbJcNq25",Native Village of Kivalina         ,Inupiaq Eskimo                          ,"0465"
"238RgO7q25",Native Village of White Mountain   ,Inupiaq Eskimo                          ,"0465"
"22qHM3zq25",Native Village of Kiana            ,Inupiaq Eskimo                          ,"0465"
"1kNmhbvq25",Native Village of Wales            ,Inupiaq Eskimo                          ,"0465"
YOmfaaRq25,Inupiat Community oftheArctic Slope,Inupiat                                 ,"0026"
YhXKZMdq25,Iowa Tribe of Kansas and Nebraska  ,Iowa                                    ,"0331"
Z0HzY8pq25,Iowa Tribe of Oklahoma             ,Iowa                                    ,"0331"
VgtDkZ5q25,Pala Band of Mission Indians       ,Ipai                                    ,"0242"
ZJ2eWv1q25,Iqugmiut Traditional Council       ,Iqurmuit Tribe                          ,"0171"
M0o4Ngtq25,Oneida Indian Nation               ,Iroquois                                ,"0441"
ihXoEJXq25,Seneca Nation of Indians           ,Iroquois                                ,"0441"
jHI8Dv9q25,Cayuga Nation                      ,Iroquois                                ,"0441"
ihpyYdfq25,Tuscarora Nation                   ,Iroquois                                ,"0441"
Pdq091Dq25,Onondaga Nation                    ,Iroquois                                ,"0441"
THSGYznq25,Tonawanda Band of Seneca           ,Iroquois                                ,"0441"
"4JTLfnT6ry",St. Regis Band of Mohawk Indians   ,Iroquois                                ,"0441"
hmzexepq25,Pit River Tribe                    ,Itsatawi                                ,"0243"
ZbnJVhDq25,Ivanof Bay Tribe                   ,Ivanoff                                 ,"0086"
QFLK6Zbq25,Organized Village of Kake          ,Kake                                    ,"0089"
cw4aIFLq25,Kaktovik Village (aka Barter Island,Kaktovik                                ,"0090"
dEpFH1Xq25,Kalispel Ind Community/Kalispel Res,Kalispel                                ,"0332"
FydLl7Pq25,Village of Kalskag                 ,Kalskag                                 ,"0091"
GHO0jtbq25,Village of Kaltag                  ,Kaltag                                  ,"0092"
Ga8fifnq25,Native Village of Kanatak          ,Kanatak                                 ,"0016"
"1RKxOVbq25",Native Village of Karluk           ,Karluk                                  ,"0093"
dXZuFnjq25,Karuk Tribe                        ,Karuk                                   ,"0245"
LiLZjEpq25,Quartz Valley Ind Com/Quartz Valley,Karuk                                   ,"0245"
"7TnqLPDq25",Elk Valley Rancheria               ,Karuk                                   ,"0245"
QY5z5Lnq25,Organized Village of Kasaan        ,Kasaan                                  ,"0094"
dqKZEZvq25,Kashia Bnd/Pomo Inds/Stewarts Point,Kashia                                  ,"0442"
"1k5cNHnq25",Kasigluk Traditional Elders Council,Kasilgluk                               ,"0095"
e95EDM7q25,Kaw Nation                         ,Kaw                                     ,"0333"
eRptC8Jq25,Kenaitze Indian Tribe              ,Kenaitze                                ,"0096"
ekaYAuVq25,Ketchikan Indian Community         ,Ketchikan                               ,"0098"
ObsHqtD5E4,Keweenaw Bay Indian Community      ,Keweenaw                                ,"0443"
"22qHM3zq25",Native Village of Kiana            ,Kiana                                   ,"0100"
fM5s8Stq25,Klawock Cooperative Association    ,Kiawock                                 ,"0101"
feqX7F5q25,Kickapoo Tribe of Oklahoma         ,Kickapoo                                ,"0335"
hm79ygRq25,Kickapoo Traditional Tribe of Texas,Kickapoo                                ,"0335"
i4roxSdq25,Kickapoo Trb/Inds/Kickapoo Res/KS  ,Kickapoo                                ,"0335"
iNcTwEpq25,King Island Native Community       ,King Island                             ,"0145"
igN8v11q25,Kiowa Indian Tribe of Oklahoma     ,Kiowa                                   ,"0336"
"2LawKqBq25",Native Village of Kipnuk           ,Kipnuk                                  ,"0103"
"4KtOA8gFht",Tejon Indian Tribe                 ,Kitanemuk                               ,"0480"
"2eLbJcNq25",Native Village of Kivalina         ,Kivalina                                ,"0115"
iz7ntnDq25,Klamath Tribes                     ,Klamath                                 ,"0247"
QEkzRvLq25,Modoc Nation                       ,Klamath                                 ,"0247"
"2x6GIOZq25",Native Village of Kluti-Kaah       ,Kluti-Kaah                              ,"0043"
jHsSsZPq25,Knik Tribe                         ,Knik                                    ,"0217"
"54Mt9pvq25",Native Village of Kobuk            ,Kobuk                                   ,"0104"
"19SnOhnq25",Sun'aq Tribe of Kodiak             ,Kodiak                                  ,"0106"
jad7rLbq25,Kokhanok Village                   ,Kokhanok                                ,"0121"
kC8Rotzq25,New Koliganek Village Council      ,Koliganek                               ,"0107"
"5ycs6AVq25",Native Village of Kongiganak       ,Kongiganak                              ,"0108"
kUt6ngBq25,Kootenai Tribe of Idaho            ,Kootenai                                ,"0338"
U9xFXNbq25,Confederated Salish&Kootenai Trbs/F,Kootenai                                ,"0338"
hmzexepq25,Pit River Tribe                    ,Kosalektawi                             ,"0248"
GstKhRzq25,Village of Kotlik                  ,Kotlik                                  ,"0111"
"6HNX4whq25",Native Village of Kotzebue         ,Kotzebue                                ,"0112"
"7UOB03Tq25",Native Village of Koyuk            ,Koyuk                                   ,"0113"
"18I85PHq25",Koyukuk Native Village             ,Koyukuk                                 ,"0114"
aVl87hfq25,Ewiiaapaayp Band of Kumeyaay       ,Kumeyaay                                ,"0444"
iN29HaZq25,Ewiiaapaayp Band/Kumeyaay Inds     ,Kumeyaay                                ,"0444"
aW3IS1nq25,Jamul Indian Village of California ,Kumeyaay                                ,"0444"
Qqqe47zq25,Organized Village of Kwethluk      ,Kwethluk                                ,"0116"
"7n8pypfq25",Native Village of Kwigillingok     ,Kwigillingok                            ,"0117"
"9uPSqH1q25",Native Village of Kwinhagak (Quinha,Kwinhagak                               ,"0167"
ADA7p3Dq25,Native Village of Larsen Bay       ,Larsen Bay                              ,"0118"
DDxaJ7xCyw,Delaware Tribe of Indians          ,Lenapi                                  ,"0445"
TkDACTrFht,Delaware Nation                    ,Lenapi                                  ,"0445"
"2e3QzIFq25",Levelock Village                   ,Levelock                                ,"0119"
"2wo5y4Rq25",Lime Village                       ,Lime                                    ,"0120"
HBdzgEBq25,Village of Lower Kalskag           ,Lower Kalskag                           ,"0122"
VgtDkZ5q25,Pala Band of Mission Indians       ,Luiseno                                 ,"0249"
aWvnR0Bq25,Pauma Bnd/Luiseno Mission Ind      ,Luiseno                                 ,"0249"
"6tlM1TTq25",Soboba Band of Luiseno Indians     ,Luiseno                                 ,"0249"
cwx5HDjq25,Pechanga Bnd/Luiseno Mission Ind/Pe,Luiseno                                 ,"0249"
"1R2n4BTq25",La Jolla Band of Luiseno Indians   ,Luiseno                                 ,"0249"
j0adXPrq25,Twenty-Nine Palms Bnd/Mission Ind/C,Luiseno                                 ,"0249"
CK8aMARq25,Lummi Tribe ofthe Lummi Reservation,Lummi                                   ,"0341"
hmzexepq25,Pit River Tribe                    ,Madesi                                  ,"0250"
aCiIobLq25,Berry Creek Rancheria/Maidu Inds/CA,Maidu                                   ,"0252"
B6pm6jXq25,Enterprise Rancheria/Maidu Inds/CA ,Maidu                                   ,"0252"
Adbb5pj5E4,United Auburn Ind Com/Auburn Ranche,Maidu                                   ,"0252"
KUAGUpXq25,Greenville Rancheria               ,Maidu                                   ,"0252"
HU6UKgFq25,Susanville Indian Rancheria        ,Maidu                                   ,"0252"
TGHbFhHq25,Mooretown Rancheria/Maidu Inds/CA  ,Maidu                                   ,"0252"
"5ezi8Pvq25",Mechoopda Tribe-Chico Rancheria    ,Maidu                                   ,"0252"
Ek9sCNzq25,Makah Indian Tribe/Makah Indian Res,Makah                                   ,"0342"
QjzQxVRCyw,Houlton Band of Maliseet Indians   ,Maliseet                                ,"0343"
PxAzmRfq25,Three Affiliated Trbs/Fort Berthold,Mandan                                  ,"0344"
F2uXBABq25,Manley Hot Springs Village         ,Manley                                  ,"0123"
FLfC9wNq25,Manokotak Village                  ,Manokotak                               ,"0124"
UmvP8Ydq25,Salt River Pima-Maricopa Ind Com/Sa,Maricopa                                ,"0446"
AVumnpPq25,Native Village of Marshall (Fortuna,Marshall                                ,"0063"
AofRmbbq25,Native Village of Mary's Igloo     ,Mary's Igloo                            ,"0202"
KM4vBhfOwQ,Upper Mattaponi Tribe              ,Mattaponi                               ,"0482"
ZbCyr2xq25,Bear River Band/Rohnerville Ranch. ,Mattole                                 ,"0253"
GFvB6Gxq25,McGrath Native Village             ,McGrath                                 ,"0125"
ZuXyUTPq25,Jackson Band of Miwuk Indians      ,Me-Wuk                                  ,"0254"
eRFYXU3q25,Buena Vista Rancheria/Me-Wuk Ind/CA,Me-Wuk                                  ,"0254"
"5MF39djq25",Chicken Ranch Rancheria/Me-Wuk Ind ,Me-Wuk                                  ,"0254"
aqGn4Qdq25,Tuolumne Bnd/Me-Wuk Inds/Tuolumne R,Me-Wuk                                  ,"0254"
Ag60sap5E4,Ione Band of Miwok Indians         ,Me-Wuk                                  ,"0254"
DxNhi3DFht,Wilton Rancheria                   ,Me-Wuk                                  ,"0254"
JzzfveRq25,California Valley Miwok Tribe      ,Me-Wuk                                  ,"0254"
Adbb5pj5E4,United Auburn Ind Com/Auburn Ranche,Me-Wuk                                  ,"0254"
O7Xl5dd9lV,Federated Indians Graton Rancheria ,Me-Wuk                                  ,"0254"
"0XxTR9Pq25",Shingle Springs Bnd/Miwok Inds(Vero,Me-Wuk                                  ,"0254"
"1jD7OJPq25",Cher-Ae Heights Ind Com/TrinidadRan,Me-Wuk                                  ,"0254"
"5ezi8Pvq25",Mechoopda Tribe-Chico Rancheria    ,Mechoopda                               ,"0255"
"9oBgXhcN5g",Mechoopda Ind Trb/Chico Rancheria  ,Mechoopda                               ,"0255"
B7Q6lNnq25,Native Village of Mekoryuk         ,Mekoryuk                                ,"0126"
GYfq539q25,Menominee Indian Tribe of Wisconsin,Menominee                               ,"0346"
GrQV3pLq25,Mentasta Traditional Council       ,Mentasta                                ,"0127"
KnD5nvrq25,"Metlakatla Ind Com, Annette Island ",Metlakatla                              ,"0128"
"1jD7OJPq25",Cher-Ae Heights Ind Com/TrinidadRan,Mi-Wuk                                  ,"0256"
eRFYXU3q25,Buena Vista Rancheria/Me-Wuk Ind/CA,Mi-Wuk                                  ,"0256"
Adbb5pj5E4,United Auburn Ind Com/Auburn Ranche,Mi-Wuk                                  ,"0256"
DxNhi3DFht,Wilton Rancheria                   ,Mi-Wuk                                  ,"0256"
JzzfveRq25,California Valley Miwok Tribe      ,Mi-Wuk                                  ,"0256"
Ag60sap5E4,Ione Band of Miwok Indians         ,Mi-Wuk                                  ,"0256"
"5MF39djq25",Chicken Ranch Rancheria/Me-Wuk Ind ,Mi-Wuk                                  ,"0256"
aqGn4Qdq25,Tuolumne Bnd/Me-Wuk Inds/Tuolumne R,Mi-Wuk                                  ,"0256"
O7Xl5dd9lV,Federated Indians Graton Rancheria ,Mi-Wuk                                  ,"0256"
ZuXyUTPq25,Jackson Band of Miwuk Indians      ,Mi-Wuk                                  ,"0256"
"0XxTR9Pq25",Shingle Springs Bnd/Miwok Inds(Vero,Mi-Wuk                                  ,"0256"
L5xkmi3q25,Miami Tribe of Oklahoma            ,Miami                                   ,"0347"
LOiPlUFq25,Miccosukee Tribe of Indians        ,Miccosukee                              ,"0348"
VMfj8AFq25,Aroostook Band of Micmacs          ,Micmac                                  ,"0349"
BQAlk9zq25,Native Village of Minto            ,Minto                                   ,"0129"
cwx5HDjq25,Pechanga Bnd/Luiseno Mission Ind/Pe,Mission                                 ,"0455"
"6bIrN1Pq25",Capitan Grnde Bnd/Viejas(Baron Long,Mission                                 ,"0455"
aWvnR0Bq25,Pauma Bnd/Luiseno Mission Ind      ,Mission                                 ,"0455"
hlWpK2Bq25,Cahuilla Band of Indians           ,Mission                                 ,"0455"
j0adXPrq25,Twenty-Nine Palms Bnd/Mission Ind/C,Mission                                 ,"0455"
i4HUIoNq25,Campo Bnd/Diegueno Mission Ind/Camp,Mission                                 ,"0455"
FePr8iZq25,Manzanita Bnd/Diegueno Mission Inds,Mission                                 ,"0455"
Ju7mAtnq25,Sycuan Band of Kumeyaay Nation     ,Mission                                 ,"0455"
HABA2bXq25,Mesa Grande Bnd/Diegueno Mission In,Mission                                 ,"0455"
AoNHSHTq25,Los Coyotes Bnd/Cahuilla&Cupeno Ind,Mission                                 ,"0455"
f2ksV2Rq25,Cabazon Band of Mission Indians    ,Mission                                 ,"0455"
OjsBX0lq25,Ramona Band of Cahuilla            ,Mission                                 ,"0455"
TZ2GETTq25,Morongo Band of Mission Indians    ,Mission                                 ,"0455"
QYO9Pfvq25,Rincon Bnd/Luiseno Mission Ind/Rinc,Mission                                 ,"0455"
VylNkMtq25,Inaja Band & Cosmit Reservation    ,Mission                                 ,"0455"
VgtDkZ5q25,Pala Band of Mission Indians       ,Mission                                 ,"0455"
YPxKtsxq25,Santa Rosa Band of Cahuilla Indians,Mission                                 ,"0455"
YOCKvwBq25,Augustine Band of Cahuilla Indians ,Mission                                 ,"0455"
ZKDJqDXq25,Iipay Nation of Santa Ysabel       ,Mission                                 ,"0455"
Z1SerRLq25,Santa Ynez Bnd/Chumash Mission Ind/,Mission                                 ,"0455"
"1jnS2xfq25",La Posta Bnd/Diegueno Mission Ind/ ,Mission                                 ,"0455"
YzhetUZq25,Capitan Grnde Bnd/(Barona Group/)  ,Mission                                 ,"0455"
eRFYXU3q25,Buena Vista Rancheria/Me-Wuk Ind/CA,Miwok                                   ,"0257"
aqGn4Qdq25,Tuolumne Bnd/Me-Wuk Inds/Tuolumne R,Miwok                                   ,"0257"
Ag60sap5E4,Ione Band of Miwok Indians         ,Miwok                                   ,"0257"
DxNhi3DFht,Wilton Rancheria                   ,Miwok                                   ,"0257"
JzzfveRq25,California Valley Miwok Tribe      ,Miwok                                   ,"0257"
Adbb5pj5E4,United Auburn Ind Com/Auburn Ranche,Miwok                                   ,"0257"
"0XxTR9Pq25",Shingle Springs Bnd/Miwok Inds(Vero,Miwok                                   ,"0257"
"4mwCYB5OwQ",Wilton Rancheria                   ,Miwok                                   ,"0257"
"1jD7OJPq25",Cher-Ae Heights Ind Com/TrinidadRan,Miwok                                   ,"0257"
ZuXyUTPq25,Jackson Band of Miwuk Indians      ,Miwok                                   ,"0257"
O7Xl5dd9lV,Federated Indians Graton Rancheria ,Miwok                                   ,"0257"
"5MF39djq25",Chicken Ranch Rancheria/Me-Wuk Ind ,Miwok                                   ,"0257"
QEkzRvLq25,Modoc Nation                       ,Modoc                                   ,"0351"
iz7ntnDq25,Klamath Tribes                     ,Modoc                                   ,"0351"
"4JTLfnT6ry",St. Regis Band of Mohawk Indians   ,Mohawk                                  ,"0352"
QqGJPTjq25,Mohegan Tribe/Indians of CT        ,Mohegan                                 ,"0353"
"6Hvawi9Cyw",Stockbridge Munsee Community       ,Mohican                                 ,"0456"
Rps6ZkWq25,Fort Mojave Indian Tribe of Arizona,Mojave                                  ,"0258"
R90yOFvq25,Colorado River Indian Tribes       ,Mojave                                  ,"0258"
SGvh2PK37T,Colorado River Tribal Council      ,Mojave                                  ,"0258"
"456rztPOwQ",Monacan Indian Nation              ,Monacan                                 ,"0476"
aoDcm9jq25,Big Sandy Rancheria/WesternMono Ind,Mono                                    ,"0259"
JammXTLq25,Northfork Rancheria/Mono Indians/CA,Mono                                    ,"0259"
H9apNxHq25,Cold Springs Rancheria of Mono Indi,Mono                                    ,"0259"
TrmvDFfq25,Muckleshoot Indian Tribe           ,Muckleshoot                             ,"0355"
KmuvTbjq25,Grindstone Ind Rancheria/Wintun-Wai,Muimok                                  ,"0260"
DDxaJ7xCyw,Delaware Tribe of Indians          ,Munsee                                  ,"0447"
"6Hvawi9Cyw",Stockbridge Munsee Community       ,Munsee                                  ,"0447"
TkDACTrFht,Delaware Nation                    ,Munsee                                  ,"0447"
"7o1Kxo3q25",South Naknek Village               ,Naknek                                  ,"0131"
Um2u9aFq25,Naknek Native Village              ,Naknek                                  ,"0131"
NG9h4lDOwQ,Nansemond Indian Tribe             ,Nansemond                               ,"0477"
BivQiwBq25,Native Village of Nanwalek(English ,Nanwalek                                ,"0060"
C1g5hiNq25,Native Village of Napaimute        ,Napaimute                               ,"0019"
CKQkgUZq25,Native Village of Napakiak         ,Napakiak                                ,"0132"
Fei1T2hq25,Native Village of Napaskiak        ,Napaskiak                               ,"0133"
V4nZ8MRq25,Narragansett Indian Tribe          ,Narragansett                            ,"0357"
e9NOXgFq25,Native Village of Council          ,Native Village                          ,"0144"
SGvh2PK37T,Colorado River Tribal Council      ,Navajo                                  ,"0359"
Gl55bVJFht,Ramah Navajo Chapter/Navajo Nation ,Navajo                                  ,"0359"
GHyqmRUCyw,Navajo Nation                      ,Navajo                                  ,"0359"
R90yOFvq25,Colorado River Indian Tribes       ,Navajo                                  ,"0359"
"54f3UA3q25",Navajo Nation                      ,Navajo                                  ,"0359"
F4Yf4TxCyw,Navajo Nation                      ,Navajo                                  ,"0359"
VgIt5upq25,Native Village of Nelson Lagoon    ,Nelson Lagoon                           ,"0134"
"5NPiSwFq25",Nenana Native Association          ,Nenana                                  ,"0135"
CdTZzatq25,New Stuyahok Village               ,New Stuyahok                            ,"0136"
EkkCr2Fq25,Newhalen Village                   ,Newhalen                                ,"0085"
F3UrpoRq25,Newtok Village                     ,Newtok                                  ,"0137"
FMFWoadq25,Nez Perce Tribe                    ,Nez Perce                               ,"0360"
FxSgRotq25,Native Village of Nightmute        ,Nightmute                               ,"0138"
Ff0BnMpq25,Nikolai Village                    ,Nikolai                                 ,"0140"
HATKMvfq25,Native Village of Nikolski         ,Nikolski                                ,"0141"
Fxkqm91q25,Ninilchik Village                  ,Ninilchik                               ,"0142"
DxNhi3DFht,Wilton Rancheria                   ,Nisenan                                 ,"0481"
GGVVkvDq25,Nisqually Indian Tribe             ,Nisqually                               ,"0361"
CfVJqclFkD,Bureau of Indian Affairs           ,No Tribe Specified                      ,"0460"
HTDzLhrq25,Native Village of Noatak           ,Noatak                                  ,"0143"
GZGAjhPq25,Nome Eskimo Community              ,Nome                                    ,"0146"
Ahra2nj5E4,Paskenta Band/Nomlaki Indians/CA   ,Nomlaki                                 ,"0448"
V4DETiBq25,Kletsel Dehe Band of Wintun Indians,Nomlaki                                 ,"0448"
"37IeIDq37T",Round Valley Ind Trbs/RoundValleyRe,Nomlaki                                 ,"0448"
Gs0piTbq25,Nondalton Village                  ,Nondalton                               ,"0147"
HAlUhFnq25,Nooksack Indian Tribe              ,Nooksack                                ,"0362"
HTW9g1zq25,Noorvik Native Community           ,Noorvik                                 ,"0148"
KCI6V1jq25,Northway Village                   ,Northway                                ,"0149"
KUkb9Tnq25,Native Village of Nuiqsut(Nooiksut),Nuiqsut                                 ,"0150"
KnnQSa7q25,Nulato Village                     ,Nulato                                  ,"0151"
KnVG8Fzq25,Native Village of Nunapitchuk      ,Nunapitchuk                             ,"0152"
"7mqfeVXq25",Little Traverse Bay Bands/Odawa Ind,Odawa                                   ,"0364"
L6Fv72Bq25,Native Village of Ohagamiut        ,Ohogamiut                               ,"0064"
"7fmv0ZL5E4",St. Croix Chippewa Indians of WI   ,Ojibway                                 ,"0449"
K1tlRkIcYf,Little Shell Tribe/Chippewa Indians,Ojibway                                 ,"0449"
"9JefWqt5E4",Bad River Band/Lake Superior Tribe/,Ojibway                                 ,"0449"
M0Djj2dq25,MN Chippewa Tribe - Mille Lacs Band,Ojibway                                 ,"0449"
PLxq9DPq25,MN Chippewa Tribe -White Earth Band,Ojibway                                 ,"0449"
"2LIm0W3q25",MN Chippewa Tribe - Leech Lake Band,Ojibway                                 ,"0449"
HUOef0Nq25,Alutiiq Tribe of Old Harbor        ,Old Harbor                              ,"0153"
Li3POuhq25,Omaha Tribe of Nebraska            ,Omaha                                   ,"0365"
PL5LAF1q25,Oneida Nation                      ,Oneida                                  ,"0366"
M0o4Ngtq25,Oneida Indian Nation               ,Oneida                                  ,"0366"
Pdq091Dq25,Onondaga Nation                    ,Onondaga                                ,"0367"
TGrvuLXq25,Orutsararmiut Traditional Native Co,Orutsararmuit                           ,"0028"
TZcat7jq25,The Osage Nation                   ,Osage                                   ,"0368"
TsNFrtvq25,Oscarville Traditional Village     ,Oscarville                              ,"0154"
UB7uqg7q25,Otoe-Missouria Tribe of Indians    ,Otoe                                    ,"0369"
UTsZpSJq25,Ottawa Tribe of Oklahoma           ,Ottawa                                  ,"0370"
C2QdT7P5E4,Grnd Traverse Bnd/Ottawa&Chippewa I,Ottawa                                  ,"0370"
"7U60fjLq25",Little River Band of Ottawa Indians,Ottawa                                  ,"0370"
LP0a5oNq25,Native Village of Ouzinkie         ,Ouzinkie                                ,"0155"
HU6UKgFq25,Susanville Indian Rancheria        ,Paiute                                  ,"0264"
ek0DWGFq25,Burns Paiute Tribe                 ,Paiute                                  ,"0264"
e8UtYhrq25,Bridgeport Indian Colony           ,Paiute                                  ,"0264"
elT39stq25,Fort McDermitt Tribal Council      ,Paiute                                  ,"0264"
ja2nChLq25,Cedarville Rancheria               ,Paiute                                  ,"0264"
cvmPxvDq25,Timbisha Shoshone Tribe            ,Paiute                                  ,"0264"
BiL64Hvq25,Paiute-Shoshone Tribe/Fallon Res.  ,Paiute                                  ,"0264"
Fe7goORq25,Fort McDermitt Paiute&Shoshone Trb/,Paiute                                  ,"0264"
Ejrhs3rq25,Fort Bidwell Ind Com/Fort BidwellRe,Paiute                                  ,"0264"
B77wR3fq25,Lovelock Paiute Trb/LovelockIndColo,Paiute                                  ,"0264"
GZqVOLfq25,Summit Lake Paiute Tribe of Nevada ,Paiute                                  ,"0264"
LzE82wJ6ry,Winnemucca Indian Colony of Nevada ,Paiute                                  ,"0264"
MKRELRTq25,Walker River Paiute Trb/Walker Rive,Paiute                                  ,"0264"
KVKvo83q25,Pyramid Lake Paiute Tribe/Pyramid L,Paiute                                  ,"0264"
QFdUQtjq25,Reno-Sparks Indian Colony          ,Paiute                                  ,"0264"
UShuW9nq25,Confederated Trbs/Warm Springs Res/,Paiute                                  ,"0264"
UmdEoEVq25,Kaibab Bnd/Paiute Inds/Kaibab IndRe,Paiute                                  ,"0264"
Pw0KT99q25,Moapa Band/Paiute Inds/Moapa River ,Paiute                                  ,"0264"
VO8Ylmtq25,Lone Pine Paiute-Shoshone Tribe    ,Paiute                                  ,"0264"
V5g47Kpq25,San Juan Southern Paiute Tribe/AZ  ,Paiute                                  ,"0264"
V5Ntn0hq25,Bishop Paiute Tribe                ,Paiute                                  ,"0264"
W0EDNzXq25,Paiute Indian Tribe of Utah        ,Paiute                                  ,"0264"
W0WNiJfq25,Yerington Paiute Trb/Yerington Colo,Paiute                                  ,"0264"
